iter	Passed	Remaining
421	2445	24325
422	2451	24323
423	2458	24334
424	2466	24349
425	2472	24340
426	2477	24331
427	2484	24331
428	2489	24319
429	2496	24324
430	2502	24325
431	2509	24325
432	2514	24316
433	2520	24311
434	2526	24304
435	2531	24297
436	2537	24288
437	2543	24287
438	2549	24282
439	2555	24276
440	2561	24268
441	2566	24255
442	2571	24243
443	2576	24233
444	2583	24238
445	2588	24220
446	2596	24235
447	2601	24229
448	2606	24216
449	2614	24223
450	2619	24214
451	2626	24219
452	2633	24221
453	2639	24224
454	2645	24217
455	2650	24207
456	2657	24207
457	2663	24207
458	2670	24208
459	2677	24212
460	2682	24199
461	2688	24198
462	2695	24204
463	2702	24208
464	2709	24213
465	2717	24225
466	2723	24221
467	2730	24225
468	2737	24225
469	2744	24229
470	2750	24227
471	2756	24221
472	2762	24221
473	2767	24202
474	2771	24188
475	2778	24188
476	2784	24186
477	2790	24179
478	2797	24185
479	2803	24183
480	2809	24179
481	2816	24183
482	2822	24178
483	2827	24162
484	2832	24150
485	2838	24148
486	2843	24135
487	2849	24130
488	2855	24126
489	2863	24135
490	2868	24120
491	2872	24104
492	2877	24090
493	2882	24078
494	2887	24065
495	2894	24065
496	2902	24077
497	2908	24075
498	2916	24083
499	2921	24069
500	2925	24055
501	2930	24040
502	2936	24038
503	2942	24031
504	2948	24026
505	2954	24022
506	2961	24021
507	2967	24017
508	2972	24008
509	2977	23994
510	2983	23991
511	2989	23985
512	2993	23969
513	2998	23952
514	3004	23951
515	3011	23951
516	3017	23949
517	3023	23941
518	3029	23938
519	3034	23926
520	3040	23919
521	3046	23916
522	3051	23907
523	3057	23896
524	3061	23881
525	3067	23877
526	3074	23878
527	3079	23869
528	3086	23868
529	3093	23873
530	3100	23872
531	3105	23860
532	3110	23850
533	3116	23843
534	3121	23835
535	3127	23827
536	3132	23816
537	3137	23808
538	3143	23802
539	3148	23792
540	3155	23793
541	3162	23791
542	3167	23785
543	3174	23781
544	3178	23767
545	3184	23763
546	3190	23758
547	3195	23742
548	3200	23734
549	3207	23735
550	3213	23729
551	3219	23724
552	3225	23718
553	3230	23709
554	3236	23708
555	3243	23704
556	3248	23692
557	3252	23679
558	3257	23662
559	3264	23665
560	3270	23663
561	3277	23663
562	3282	23656
563	3290	23660
564	3295	23649
565	3300	23642
566	3307	23639
567	3312	23627
568	3317	23622
569	3323	23617
570	3329	23607
571	3334	23597
572	3340	23590
573	3346	23586
574	3352	23582
575	3357	23573
576	3362	23561
577	3367	23548
578	3374	23552
579	3380	23547
580	3387	23549
581	3393	23541
582	3398	23533
583	3403	23523
584	3409	23516
585	3414	23506
586	3421	23509
587	3426	23498
588	3433	23498
589	3439	23492
590	3445	23491
591	3450	23480
592	3456	23471
593	3461	23458
594	3466	23452
595	3472	23444
596	3477	23432
597	3483	23431
598	3490	23429
599	3494	23413
600	3501	23412
601	3506	23404
602	3512	23397
603	3517	23386
604	3523	23381
605	3529	23377
606	3534	23370
607	3539	23357
608	3545	23348
609	3550	23343
610	3556	23333
611	3561	23326
612	3568	23323
613	3573	23313
614	3579	23310
615	3585	23305
616	3591	23300
617	3596	23289
618	3603	23293
619	3608	23280
620	3615	23279
621	3620	23270
622	3626	23265
623	3631	23256
624	3636	23243
625	3643	23247
626	3649	23240
627	3655	23235
628	3661	23233
629	3667	23226
630	3674	23228
631	3679	23221
632	3685	23215
633	3690	23202
634	3694	23187
635	3699	23173
636	3704	23162
637	3710	23158
638	3715	23149
639	3722	23151
640	3727	23140
641	3732	23128
642	3737	23119
643	3744	23116
644	3749	23109
645	3755	23102
646	3761	23099
647	3766	23090
648	3772	23083
649	3777	23073
650	3782	23061
651	3787	23052
652	3792	23042
653	3798	23036
654	3804	23028
655	3810	23027
656	3816	23019
657	3821	23007
658	3826	23001
659	3831	22988
660	3835	22972
661	3839	22958
662	3845	22952
663	3851	22947
664	3857	22942
665	3863	22936
666	3869	22932
667	3874	22921
668	3880	22915
669	3885	22906
670	3891	22902
671	3898	22902
672	3905	22902
673	3911	22902
674	3918	22899
675	3923	22890
676	3928	22877
677	3933	22870
678	3938	22859
679	3944	22854
680	3951	22856
681	3956	22846
682	3962	22842
683	3968	22835
684	3973	22826
685	3978	22815
686	3984	22808
687	3990	22804
688	3995	22794
689	4000	22786
690	4006	22782
691	4013	22779
692	4019	22775
693	4024	22765
694	4029	22756
695	4035	22754
696	4041	22749
697	4047	22739
698	4052	22732
699	4058	22729
700	4064	22721
701	4069	22714
702	4075	22706
703	4081	22704
704	4087	22701
705	4093	22695
706	4098	22683
707	4104	22678
708	4109	22668
709	4114	22659
710	4120	22654
711	4126	22647
712	4133	22649
713	4138	22642
