iter	Logloss
222	0.4011337768
223	0.4010148819
224	0.4009637563
225	0.4008779661
226	0.4007489633
227	0.4005620365
228	0.4004674612
229	0.4004106076
230	0.4002889421
231	0.4001913702
232	0.4001403805
233	0.3999857128
234	0.3999043426
235	0.3997197811
236	0.3996098039
237	0.3995067132
238	0.3993324844
239	0.3992462142
240	0.3991009266
241	0.3989265405
242	0.3988327509
243	0.3987008812
244	0.3986439181
245	0.3985969682
246	0.3984880599
247	0.3982503064
248	0.3981577225
249	0.3981013263
250	0.3980404016
251	0.3979674666
252	0.397740702
253	0.3975951642
254	0.3975084294
255	0.3973451125
256	0.3971560528
257	0.3971006387
258	0.3968744113
259	0.3967074536
260	0.3965260417
261	0.3963865983
262	0.3961982476
263	0.396103738
264	0.3959032414
265	0.3957516213
266	0.3956718933
267	0.395537724
268	0.3953376923
269	0.3951946032
270	0.3950820331
271	0.3949952446
272	0.3949323605
273	0.3948296235
274	0.394721822
275	0.3945882351
276	0.3944986594
277	0.3944026189
278	0.3943582025
279	0.3942544454
280	0.3941994489
281	0.3940390233
282	0.3939370907
283	0.3938036741
284	0.3936934808
285	0.3936522404
286	0.3935537791
287	0.393483015
288	0.3933961563
289	0.3933032189
290	0.3930758503
291	0.3930147621
292	0.3928793269
293	0.3927925124
294	0.3926732262
295	0.3924681583
296	0.3923875907
297	0.3923115581
298	0.3921490741
299	0.3920992798
300	0.3920571805
301	0.3918229023
302	0.3916713356
303	0.3915085472
304	0.3914065889
305	0.3912188855
306	0.3909882282
307	0.3907824839
308	0.3906207587
309	0.3904834262
310	0.3904146718
311	0.3902368959
312	0.3901494938
313	0.3901006986
314	0.3899357986
315	0.3897973718
316	0.3896418584
317	0.3895397331
318	0.3894444442
319	0.3893576741
320	0.3892718301
321	0.3891211128
322	0.3889348231
323	0.3887801222
324	0.3885863719
325	0.3884944292
326	0.3884453994
327	0.3882931648
328	0.3882161974
329	0.3880186989
330	0.3878279275
331	0.3876452425
332	0.3874948058
333	0.3873868684
334	0.3872818901
335	0.3871878078
336	0.3869908836
337	0.3869324601
338	0.3867329056
339	0.3866840843
340	0.3865432252
341	0.3864562623
342	0.3863652721
343	0.3860424776
344	0.3856890266
345	0.3855798248
346	0.3853670591
347	0.3852377571
348	0.3850107227
349	0.3847229722
350	0.3846115083
351	0.384295316
352	0.3841695464
353	0.3839520385
354	0.3838058607
355	0.3835968795
356	0.3832533485
357	0.3831468747
358	0.3830619945
359	0.3828338068
360	0.3827191802
361	0.3825747813
362	0.3824485756
363	0.3821574353
364	0.3818717582
365	0.3817965995
366	0.381716172
367	0.3815870775
368	0.3812170274
369	0.3811623334
370	0.3809408522
371	0.3807697889
372	0.3805489201
373	0.3804471785
374	0.3802817218
375	0.3801691987
376	0.3800051287
377	0.3798321481
378	0.3797037001
379	0.3794013747
380	0.3792186138
381	0.379075344
382	0.3789516693
383	0.3788754594
384	0.3787645013
385	0.3785672812
386	0.3784183834
387	0.3781437908
388	0.3779337223
389	0.3778829754
390	0.3774901378
391	0.3772722825
392	0.3770683262
393	0.3768834513
394	0.376686981
395	0.3765202014
396	0.3764330773
397	0.3762090258
398	0.3760802431
399	0.3759248516
400	0.3757914461
401	0.3755466125
402	0.375305456
403	0.3751810557
404	0.3749973946
405	0.3748108387
406	0.3746900725
407	0.3744725955
408	0.3742983244
409	0.3741061334
410	0.3739471179
411	0.3737501005
412	0.3735735435
413	0.3733839615
414	0.3731432739
415	0.3729688271
416	0.3728202512
417	0.3726460092
418	0.3723714533
419	0.3721994521
420	0.3719752285
421	0.3716488544
422	0.3715007534
423	0.3712993003
424	0.3710577727
425	0.3709034278
426	0.3708124811
427	0.3706293169
428	0.3705270936
429	0.3702738198
430	0.3700608011
431	0.3698248636
432	0.3696998007
433	0.3694816552
434	0.3693171656
435	0.3691798599
436	0.3690459555
437	0.3688804205
438	0.3686962455
439	0.3683899251
440	0.3682067784
441	0.3680218671
442	0.3679594191
443	0.367902738
444	0.367656261
445	0.3673822641
446	0.3672417927
447	0.3669688711
448	0.3667540926
449	0.3665231692
450	0.3662503823
451	0.3660650923
452	0.3659605456
453	0.3657773388
454	0.3656435106
455	0.3655654906
456	0.3654447304
457	0.3652976152
458	0.3651386159
459	0.3650154933
460	0.3648647489
461	0.3647393349
462	0.3645768579
463	0.3643900581
464	0.3642552307
465	0.364140285
466	0.3639145732
467	0.3637666101
468	0.3636077284
469	0.3635529287
470	0.3634116888
471	0.3633187144
472	0.3631081056
473	0.3629111563
474	0.3628529665
475	0.3627557494
476	0.3625263214
477	0.3622403021
478	0.3620744976
479	0.3618555061
480	0.361584335
481	0.3613751628
482	0.3610531042
483	0.3608347367
484	0.3605442153
485	0.360407214
486	0.3602860686
487	0.3600649959
488	0.3599292504
489	0.3597783567
490	0.3596701125
491	0.3595995989
492	0.3594858094
493	0.3593948636
494	0.3592402692
495	0.3591584439
496	0.3591036823
497	0.3589731483
498	0.3586889612
499	0.3585281453
500	0.358466968
501	0.358395671
502	0.3582277898
503	0.3581042548
504	0.3579116529
505	0.3577400358
506	0.3575817985
507	0.357418624
508	0.357310701
509	0.3571440874
510	0.3569986696
511	0.3567892321
512	0.3567486786
513	0.3566941931
514	0.356550409
515	0.3563187575
516	0.356212618
517	0.3561408421
518	0.3559854676
519	0.3558924339
520	0.3557782348
521	0.3555679427
522	0.3554158065
523	0.3553610217
524	0.3552154678
525	0.3550388709
526	0.3548908464
527	0.3547755998
528	0.3545987036
529	0.3544355436
530	0.3542242202
531	0.3540816015
532	0.3539649354
533	0.3538700967
534	0.3538497651
535	0.3537007551
536	0.3534782656
537	0.3533444671
538	0.3532298023
539	0.3531439845
540	0.3530103462
541	0.3528901668
542	0.3527775729
543	0.3525746909
544	0.3524941392
545	0.3523907476
546	0.3522718866
547	0.3522185818
548	0.3520450949
549	0.3519826334
550	0.3517758755
551	0.3516254346
552	0.3514730824
553	0.3514140185
554	0.3513017801
555	0.3511366556
556	0.3510343492
557	0.3510046058
558	0.3508143022
559	0.3507268153
560	0.3506119075
561	0.3505014375
562	0.3503893386
563	0.3502780873
564	0.35024798
565	0.3500705619
566	0.3499447775
567	0.3497849617
568	0.3496427488
569	0.3494791507
570	0.3493792459
571	0.3491824391
572	0.3491467858
573	0.3490039563
574	0.3489850252
575	0.3488309942
576	0.3487196202
577	0.3486830841
578	0.3485761341
579	0.3485076439
580	0.3483717453
581	0.3482618265
582	0.3480729199
583	0.3479727102
584	0.3477577074
585	0.3475329569
586	0.3474429653
587	0.3473341566
588	0.3471376599
589	0.3470752464
590	0.3469739435
591	0.34692761
592	0.3468325244
593	0.3466403466
594	0.3464431204
595	0.3462873919
596	0.3461537264
597	0.3460602528
598	0.3459281385
599	0.3458643502
600	0.3456434557
601	0.3455867991
602	0.3453717511
603	0.3452886487
604	0.3452171674
605	0.3450454777
606	0.3449095261
607	0.3447067557
608	0.3445491618
609	0.3444203832
610	0.3442584438
611	0.3440774555
612	0.3439891457
613	0.343915021
614	0.343750174
615	0.3435916666
616	0.3434310748
617	0.3433747167
618	0.3431870295
619	0.3431336449
620	0.3429797386
621	0.3427795244
622	0.3426743508
623	0.3425189995
624	0.3424839954
625	0.3424278125
626	0.3423007961
627	0.342264613
628	0.3421034051
629	0.3419915444
630	0.3418993314
631	0.3418082346
632	0.341707232
633	0.3415939799
634	0.3415384753
635	0.3413922018
636	0.3412476163
637	0.3410933277
638	0.3410684303
639	0.3409187367
640	0.3407292109
641	0.3405814975
642	0.340511605
643	0.3404232892
644	0.3402368578
645	0.3400631713
646	0.3398961324
647	0.3398003569
648	0.3397124348
649	0.3396560527
650	0.3394708275
651	0.3393710807
652	0.3392763873
653	0.3391712166
654	0.3390478634
655	0.3389432079
656	0.3388518429
657	0.338759179
658	0.3385804157
659	0.338548256
660	0.3384951901
661	0.3383814074
662	0.3383303732
663	0.3382418897
664	0.3380823187
665	0.3380102236
666	0.3379086568
667	0.3377122299
668	0.3375239157
669	0.3374362354
670	0.3372913844
671	0.3371279631
672	0.3370644132
673	0.3369244884
674	0.3368228501
675	0.336657531
676	0.3364956835
677	0.3363608424
678	0.336195162
679	0.3361421131
680	0.3359582193
681	0.3358162467
682	0.3356716524
683	0.3355186464
684	0.3354410927
685	0.3353958105
686	0.3353286643
687	0.3351767918
688	0.3350959825
689	0.3349840491
690	0.334827144
691	0.3346686377
692	0.3346113452
693	0.3344180242
694	0.3343728539
695	0.3343064124
696	0.3342048952
697	0.3340044657
698	0.3338190347
699	0.3336672156
700	0.333554604
701	0.333456443
702	0.3333142357
703	0.3332356319
704	0.333077864
705	0.3329313542
706	0.3328870949
707	0.3328050712
708	0.33267365
709	0.3325506147
710	0.3324218576
711	0.3323802702
712	0.33228438
713	0.3321624064
