iter	Logloss
0	0.68219839
1	0.6685528396
2	0.6566931749
3	0.6447052829
4	0.6359531344
5	0.6257254089
6	0.6151904863
7	0.6058200105
8	0.5969326044
9	0.5892178223
10	0.5813071354
11	0.5750182167
12	0.5685851799
13	0.562083014
14	0.5558418106
15	0.5497559442
16	0.5446475044
17	0.5397971705
18	0.5348305746
19	0.5302346146
20	0.5252636583
21	0.5218846528
22	0.5170098618
23	0.5132893054
24	0.5090410905
25	0.5053752058
26	0.5015409
27	0.4986321185
28	0.4957427153
29	0.4927515683
30	0.4904354303
31	0.4880506869
32	0.4859391007
33	0.4838544922
34	0.4821945607
35	0.4804147543
36	0.4782055257
37	0.4767402666
38	0.4751217309
39	0.4728666937
40	0.4712920534
41	0.4698021634
42	0.4685512073
43	0.4668245695
44	0.4655154588
45	0.4645219276
46	0.4634713844
47	0.4625904283
48	0.4616055533
49	0.4599623251
50	0.4588886689
51	0.4578100073
52	0.4569895946
53	0.4556607237
54	0.4542571081
55	0.4530260976
56	0.4519648078
57	0.4512540645
58	0.4499602824
59	0.4491533252
60	0.4480418178
61	0.447215078
62	0.4465793077
63	0.4460157208
64	0.4452591228
65	0.4443186216
66	0.4437655416
67	0.4431236576
68	0.4422266129
69	0.4413992629
70	0.4408614532
71	0.4400979144
72	0.4390296334
73	0.4383754985
74	0.4380429954
75	0.4373532422
76	0.4366185618
77	0.4362134966
78	0.4358040754
79	0.4350557496
80	0.4345812791
81	0.4336591758
82	0.4332766905
83	0.4328046664
84	0.432253143
85	0.4318347945
86	0.431370267
87	0.4310018358
88	0.4307307461
89	0.430272793
90	0.4296410282
91	0.4291401296
92	0.4288155442
93	0.4280421743
94	0.4277615823
95	0.4272435019
96	0.4269082508
97	0.4265618968
98	0.426218423
99	0.4259566965
100	0.4256906536
101	0.4253015798
102	0.4251256116
103	0.4246885434
104	0.4243800312
105	0.4241811127
106	0.4237486033
107	0.4234854088
108	0.4231505495
109	0.4227617118
110	0.4225845326
111	0.4223394013
112	0.4222311051
113	0.4220405648
114	0.4218460008
115	0.4213789197
116	0.4210040163
117	0.4206995754
118	0.4202670159
119	0.4201223281
120	0.4197702068
121	0.4194837027
122	0.4192653051
123	0.4190134452
124	0.4182988246
125	0.4181627578
126	0.4177004305
127	0.4173764861
128	0.4171395319
129	0.4169612249
130	0.416823686
131	0.41650526
132	0.4162781383
133	0.4161221597
134	0.4159496458
135	0.4158468367
136	0.415345777
137	0.4151932166
138	0.4149524681
139	0.4148255462
140	0.4145748954
141	0.4143169847
142	0.4140408402
143	0.4138555392
144	0.4135991213
145	0.4133875326
146	0.4131758433
147	0.4130951989
148	0.4128386702
149	0.4125999777
150	0.4123863027
151	0.4121058192
152	0.4118419056
153	0.4117115976
154	0.4116130092
155	0.4111381153
156	0.410918141
157	0.4106604397
158	0.4104115457
159	0.4102201841
160	0.4100665632
161	0.4098583869
162	0.4096146335
163	0.4095196147
164	0.4092865599
165	0.4090933825
166	0.4089961344
167	0.4089220264
168	0.4088443394
169	0.4087279887
170	0.408445211
171	0.4082390153
172	0.4080803101
173	0.4078674067
174	0.4078346317
175	0.4076913999
176	0.4075280644
177	0.4074534581
178	0.4073544797
179	0.4071662913
180	0.406939841
181	0.4067312373
182	0.4065876203
183	0.4063839848
184	0.4062429213
185	0.4060696033
186	0.4059737324
187	0.4057813202
188	0.4056527232
189	0.405392806
190	0.4053542867
191	0.4053052399
192	0.4049856433
193	0.4047992317
194	0.40468552
195	0.4045926546
196	0.4045133502
197	0.4043836914
198	0.4042903038
199	0.4041749427
200	0.4040946434
201	0.4038841318
202	0.403828742
203	0.4036936647
204	0.4036294003
205	0.4035429973
206	0.4033707909
207	0.4031795102
208	0.4030314108
209	0.4029087624
210	0.4027915784
211	0.4026376428
212	0.4025145691
213	0.4023344992
214	0.4022103776
215	0.402047606
216	0.4019489315
217	0.4018488907
218	0.4017321218
219	0.4015499529
220	0.401444164
221	0.4012498753
